Throttle to 25% (target = step 32 of 126)
Formula: delay = 50 + 250 × (e^(progress×k) - 1) / (e^k - 1)

   Time     k=0.1     k=0.5     k=1.0     k=2.0     k=5.0    LINEAR
  -----    ------    ------    ------    ------    ------    ------
   50ms         1         1         1         1         1         0
  100ms         1         1         1         1         1         0
  150ms         2         2         2         2         2         0
  200ms         3         3         3         3         3         0
  250ms         4         4         4         4         4         0
  300ms         4         4         5         5         5         1
  350ms         5         5         5         6         6         1
  400ms         5         6         6         6         7         1
  450ms         6         6         6         7         8         1
  500ms         6         7         7         8         9         1
  550ms         7         7         8         8        10         1
  600ms         7         8         8         9        11         2
  650ms         8         8         9        10        12         2
  700ms         8         9         9        10        13         2
  750ms         9         9        10        11        13         2
  800ms         9        10        10        11        14         2
  850ms        10        10        11        12        15         2
  900ms        10        10        11        12        16         3
  950ms        10        11        12        13        16         3
 1000ms        11        11        12        13        17         3
 1050ms        11        12        12        14        18         3
 1100ms        12        12        13        14        18         3
 1150ms        12        12        13        15        19         3
 1200ms        12        13        14        15        20         4
 1250ms        13        13        14        16        20         4
 1300ms        13        14        14        16        21         4
 1350ms        13        14        15        17        21         4
 1400ms        14        14        15        17        22         4
 1450ms        14        15        16        17        22         4
 1500ms        14        15        16        18        23         5
 1550ms        15        15        16        18        23         5
 1600ms        15        16        17        19        24         5
 1650ms        15        16        17        19        24         5
 1700ms        15        16        17        19        25         5
 1750ms        16        17        18        20        25         5
 1800ms        16        17        18        20        25         6
 1850ms        16        17        18        20        26         6
 1900ms        17        17        18        21        26         6
 1950ms        17        18        19        21        26         6
 2000ms        17        18        19        21        27         6
 2050ms        17        18        19        22        27         6
 2100ms        18        19        20        22        27         7
 2150ms        18        19        20        22        28         7
 2200ms        18        19        20        23        28         7
 2250ms        19        19        21        23        28         7
 2300ms        19        20        21        23        28         7
 2350ms        19        20        21        23        29         7
 2400ms        19        20        21        24        29         8
 2450ms        20        20        22        24        29         8
 2500ms        20        21        22        24        29         8
 2550ms        20        21        22        24        30         8
 2600ms        20        21        22        25        30         8
 2650ms        21        21        23        25        30         8
 2700ms        21        22        23        25        30         9
 2750ms        21        22        23        25        30         9
 2800ms        21        22        23        26        31         9
 2850ms        21        22        24        26        31         9
 2900ms        22        23        24        26        31         9
 2950ms        22        23        24        26        31         9
 3000ms        22        23        24        27        31        10
 3050ms        22        23        25        27        32        10
 3100ms        23        24        25        27        32        10
 3150ms        23        24        25        27        32        10
 3200ms        23        24        25        28        32        10
 3250ms        23        24        25        28        32        10
 3300ms        23        24        26        28        32        11
 3350ms        24        25        26        28        32        11
 3400ms        24        25        26        28        32        11
 3450ms        24        25        26        29        32        11
 3500ms        24        25        27        29        32        11
 3550ms        25        26        27        29        32        11
 3600ms        25        26        27        29        32        12
 3650ms        25        26        27        29        32        12
 3700ms        25        26        27        30        32        12
 3750ms        25        26        28        30        32        12
 3800ms        26        27        28        30        32        12
 3850ms        26        27        28        30        32        12
 3900ms        26        27        28        30        32        13
 3950ms        26        27        28        31        32        13
 4000ms        26        27        29        31        32        13
 4050ms        27        28        29        31        32        13
 4100ms        27        28        29        31        32        13
 4150ms        27        28        29        31        32        13
 4200ms        27        28        29        31        32        14
 4250ms        27        28        29        32        32        14
 4300ms        28        28        30        32        32        14
 4350ms        28        29        30        32        32        14
 4400ms        28        29        30        32        32        14
 4450ms        28        29        30        32        32        14
 4500ms        28        29        30        32        32        15
 4550ms        28        29        31        32        32        15
 4600ms        29        30        31        32        32        15
 4650ms        29        30        31        32        32        15
 4700ms        29        30        31        32        32        15
 4750ms        29        30        31        32        32        15
 4800ms        29        30        31        32        32        16
 4850ms        30        30        32        32        32        16
 4900ms        30        31        32        32        32        16
 4950ms        30        31        32        32        32        16
 5000ms        30        31        32        32        32        16
 5050ms        30        31        32        32        32        16
 5100ms        30        31        32        32        32        17
 5150ms        31        32        32        32        32        17
 5200ms        31        32        32        32        32        17
 5250ms        31        32        32        32        32        17
 5300ms        31        32        32        32        32        17
 5350ms        31        32        32        32        32        17
 5400ms        31        32        32        32        32        18
 5450ms        32        32        32        32        32        18
 5500ms        32        32        32        32        32        18
 5550ms        32        32        32        32        32        18
 5600ms        32        32        32        32        32        18
 5650ms        32        32        32        32        32        18
 5700ms        32        32        32        32        32        19
 5750ms        32        32        32        32        32        19
 5800ms        32        32        32        32        32        19
 5850ms        32        32        32        32        32        19
 5900ms        32        32        32        32        32        19
 5950ms        32        32        32        32        32        19
 6000ms        32        32        32        32        32        20
 6050ms        32        32        32        32        32        20
